,gpu_src,cpu_src,cpu_exec,gpu_exec,errors,n,b1,b2,b3,g1,g2,g3
0,"


__global__ void kernel(float * musing_beaver_input, float * inspiring_shaw_output, float * sad_poincare_output, unsigned int N){
    int bx = blockIdx.x, bdx = blockDim.x,  tx = threadIdx.x;

    int angry_ardinghelli = bx*bdx + tx;
    if (angry_ardinghelli < N){
        __syncthreads();
    }
    
        
}

void func_gpu(float * musing_beaver_input, float * inspiring_shaw_output, float * sad_poincare_output, unsigned int N, dim3 block, dim3 grid, size_t size){
    float * musing_beaver_input_gpu;
    float * inspiring_shaw_output_gpu;
    float * sad_poincare_output_gpu;

    cudaMalloc(&musing_beaver_input_gpu, size);
    cudaMalloc(&inspiring_shaw_output_gpu, size);
    cudaMalloc(&sad_poincare_output_gpu, size);

    cudaMemcpy(musing_beaver_input_gpu, musing_beaver_input, size, cudaMemcpyHostToDevice);

    kernel<<<block, grid>>>(musing_beaver_input_gpu, inspiring_shaw_output_gpu, sad_poincare_output_gpu, N);

    cudaMemcpy(inspiring_shaw_output, inspiring_shaw_output_gpu, size, cudaMemcpyDeviceToHost);
    cudaMemcpy(sad_poincare_output, sad_poincare_output_gpu, size, cudaMemcpyDeviceToHost);

    cudaFree(musing_beaver_input_gpu);
    cudaFree(inspiring_shaw_output_gpu);
    cudaFree(sad_poincare_output_gpu);
}
        ","
void func_cpu(float * musing_beaver_input, float * inspiring_shaw_output, float * sad_poincare_output, unsigned int N){

    for (int angry_ardinghelli = 0; angry_ardinghelli <= N; angry_ardinghelli++){

    }
        
}
        ",0.000000,0.150000,0,10,10,1,1,1,1,1
1,"


__global__ void kernel(float * musing_beaver_input, float * inspiring_shaw_output, float * sad_poincare_output, unsigned int N){
    int bx = blockIdx.x, bdx = blockDim.x,  tx = threadIdx.x;

    int angry_ardinghelli = bx*bdx + tx;
    if (angry_ardinghelli < N){
        __syncthreads();
    }
    
        
}

void func_gpu(float * musing_beaver_input, float * inspiring_shaw_output, float * sad_poincare_output, unsigned int N, dim3 block, dim3 grid, size_t size){
    float * musing_beaver_input_gpu;
    float * inspiring_shaw_output_gpu;
    float * sad_poincare_output_gpu;

    cudaMalloc(&musing_beaver_input_gpu, size);
    cudaMalloc(&inspiring_shaw_output_gpu, size);
    cudaMalloc(&sad_poincare_output_gpu, size);

    cudaMemcpy(musing_beaver_input_gpu, musing_beaver_input, size, cudaMemcpyHostToDevice);

    kernel<<<block, grid>>>(musing_beaver_input_gpu, inspiring_shaw_output_gpu, sad_poincare_output_gpu, N);

    cudaMemcpy(inspiring_shaw_output, inspiring_shaw_output_gpu, size, cudaMemcpyDeviceToHost);
    cudaMemcpy(sad_poincare_output, sad_poincare_output_gpu, size, cudaMemcpyDeviceToHost);

    cudaFree(musing_beaver_input_gpu);
    cudaFree(inspiring_shaw_output_gpu);
    cudaFree(sad_poincare_output_gpu);
}
        ","
void func_cpu(float * musing_beaver_input, float * inspiring_shaw_output, float * sad_poincare_output, unsigned int N){

    for (int angry_ardinghelli = 0; angry_ardinghelli <= N; angry_ardinghelli++){

    }
        
}
        ",0.000000,0.170000,0,100,100,1,1,1,1,1
2,"


__global__ void kernel(float * musing_beaver_input, float * inspiring_shaw_output, float * sad_poincare_output, unsigned int N){
    int bx = blockIdx.x, bdx = blockDim.x,  tx = threadIdx.x;

    int angry_ardinghelli = bx*bdx + tx;
    if (angry_ardinghelli < N){
        __syncthreads();
    }
    
        
}

void func_gpu(float * musing_beaver_input, float * inspiring_shaw_output, float * sad_poincare_output, unsigned int N, dim3 block, dim3 grid, size_t size){
    float * musing_beaver_input_gpu;
    float * inspiring_shaw_output_gpu;
    float * sad_poincare_output_gpu;

    cudaMalloc(&musing_beaver_input_gpu, size);
    cudaMalloc(&inspiring_shaw_output_gpu, size);
    cudaMalloc(&sad_poincare_output_gpu, size);

    cudaMemcpy(musing_beaver_input_gpu, musing_beaver_input, size, cudaMemcpyHostToDevice);

    kernel<<<block, grid>>>(musing_beaver_input_gpu, inspiring_shaw_output_gpu, sad_poincare_output_gpu, N);

    cudaMemcpy(inspiring_shaw_output, inspiring_shaw_output_gpu, size, cudaMemcpyDeviceToHost);
    cudaMemcpy(sad_poincare_output, sad_poincare_output_gpu, size, cudaMemcpyDeviceToHost);

    cudaFree(musing_beaver_input_gpu);
    cudaFree(inspiring_shaw_output_gpu);
    cudaFree(sad_poincare_output_gpu);
}
        ","
void func_cpu(float * musing_beaver_input, float * inspiring_shaw_output, float * sad_poincare_output, unsigned int N){

    for (int angry_ardinghelli = 0; angry_ardinghelli <= N; angry_ardinghelli++){

    }
        
}
        ",0.000000,0.160000,0,100,10,1,1,10,1,1
3,"


__global__ void kernel(float * musing_beaver_input, float * inspiring_shaw_output, float * sad_poincare_output, unsigned int N){
    int bx = blockIdx.x, bdx = blockDim.x,  tx = threadIdx.x;

    int angry_ardinghelli = bx*bdx + tx;
    if (angry_ardinghelli < N){
        __syncthreads();
    }
    
        
}

void func_gpu(float * musing_beaver_input, float * inspiring_shaw_output, float * sad_poincare_output, unsigned int N, dim3 block, dim3 grid, size_t size){
    float * musing_beaver_input_gpu;
    float * inspiring_shaw_output_gpu;
    float * sad_poincare_output_gpu;

    cudaMalloc(&musing_beaver_input_gpu, size);
    cudaMalloc(&inspiring_shaw_output_gpu, size);
    cudaMalloc(&sad_poincare_output_gpu, size);

    cudaMemcpy(musing_beaver_input_gpu, musing_beaver_input, size, cudaMemcpyHostToDevice);

    kernel<<<block, grid>>>(musing_beaver_input_gpu, inspiring_shaw_output_gpu, sad_poincare_output_gpu, N);

    cudaMemcpy(inspiring_shaw_output, inspiring_shaw_output_gpu, size, cudaMemcpyDeviceToHost);
    cudaMemcpy(sad_poincare_output, sad_poincare_output_gpu, size, cudaMemcpyDeviceToHost);

    cudaFree(musing_beaver_input_gpu);
    cudaFree(inspiring_shaw_output_gpu);
    cudaFree(sad_poincare_output_gpu);
}
        ","
void func_cpu(float * musing_beaver_input, float * inspiring_shaw_output, float * sad_poincare_output, unsigned int N){

    for (int angry_ardinghelli = 0; angry_ardinghelli <= N; angry_ardinghelli++){

    }
        
}
        ",0.000000,0.160000,0,100,1,1,1,100,1,1
4,"


__global__ void kernel(float * musing_beaver_input, float * inspiring_shaw_output, float * sad_poincare_output, unsigned int N){
    int bx = blockIdx.x, bdx = blockDim.x,  tx = threadIdx.x;

    int angry_ardinghelli = bx*bdx + tx;
    if (angry_ardinghelli < N){
        __syncthreads();
    }
    
        
}

void func_gpu(float * musing_beaver_input, float * inspiring_shaw_output, float * sad_poincare_output, unsigned int N, dim3 block, dim3 grid, size_t size){
    float * musing_beaver_input_gpu;
    float * inspiring_shaw_output_gpu;
    float * sad_poincare_output_gpu;

    cudaMalloc(&musing_beaver_input_gpu, size);
    cudaMalloc(&inspiring_shaw_output_gpu, size);
    cudaMalloc(&sad_poincare_output_gpu, size);

    cudaMemcpy(musing_beaver_input_gpu, musing_beaver_input, size, cudaMemcpyHostToDevice);

    kernel<<<block, grid>>>(musing_beaver_input_gpu, inspiring_shaw_output_gpu, sad_poincare_output_gpu, N);

    cudaMemcpy(inspiring_shaw_output, inspiring_shaw_output_gpu, size, cudaMemcpyDeviceToHost);
    cudaMemcpy(sad_poincare_output, sad_poincare_output_gpu, size, cudaMemcpyDeviceToHost);

    cudaFree(musing_beaver_input_gpu);
    cudaFree(inspiring_shaw_output_gpu);
    cudaFree(sad_poincare_output_gpu);
}
        ","
void func_cpu(float * musing_beaver_input, float * inspiring_shaw_output, float * sad_poincare_output, unsigned int N){

    for (int angry_ardinghelli = 0; angry_ardinghelli <= N; angry_ardinghelli++){

    }
        
}
        ",0.000000,0.180000,0,10000,10000,1,1,1,1,1
5,"


__global__ void kernel(float * musing_beaver_input, float * inspiring_shaw_output, float * sad_poincare_output, unsigned int N){
    int bx = blockIdx.x, bdx = blockDim.x,  tx = threadIdx.x;

    int angry_ardinghelli = bx*bdx + tx;
    if (angry_ardinghelli < N){
        __syncthreads();
    }
    
        
}

void func_gpu(float * musing_beaver_input, float * inspiring_shaw_output, float * sad_poincare_output, unsigned int N, dim3 block, dim3 grid, size_t size){
    float * musing_beaver_input_gpu;
    float * inspiring_shaw_output_gpu;
    float * sad_poincare_output_gpu;

    cudaMalloc(&musing_beaver_input_gpu, size);
    cudaMalloc(&inspiring_shaw_output_gpu, size);
    cudaMalloc(&sad_poincare_output_gpu, size);

    cudaMemcpy(musing_beaver_input_gpu, musing_beaver_input, size, cudaMemcpyHostToDevice);

    kernel<<<block, grid>>>(musing_beaver_input_gpu, inspiring_shaw_output_gpu, sad_poincare_output_gpu, N);

    cudaMemcpy(inspiring_shaw_output, inspiring_shaw_output_gpu, size, cudaMemcpyDeviceToHost);
    cudaMemcpy(sad_poincare_output, sad_poincare_output_gpu, size, cudaMemcpyDeviceToHost);

    cudaFree(musing_beaver_input_gpu);
    cudaFree(inspiring_shaw_output_gpu);
    cudaFree(sad_poincare_output_gpu);
}
        ","
void func_cpu(float * musing_beaver_input, float * inspiring_shaw_output, float * sad_poincare_output, unsigned int N){

    for (int angry_ardinghelli = 0; angry_ardinghelli <= N; angry_ardinghelli++){

    }
        
}
        ",0.000000,0.180000,0,10000,1000,1,1,10,1,1
6,"


__global__ void kernel(float * musing_beaver_input, float * inspiring_shaw_output, float * sad_poincare_output, unsigned int N){
    int bx = blockIdx.x, bdx = blockDim.x,  tx = threadIdx.x;

    int angry_ardinghelli = bx*bdx + tx;
    if (angry_ardinghelli < N){
        __syncthreads();
    }
    
        
}

void func_gpu(float * musing_beaver_input, float * inspiring_shaw_output, float * sad_poincare_output, unsigned int N, dim3 block, dim3 grid, size_t size){
    float * musing_beaver_input_gpu;
    float * inspiring_shaw_output_gpu;
    float * sad_poincare_output_gpu;

    cudaMalloc(&musing_beaver_input_gpu, size);
    cudaMalloc(&inspiring_shaw_output_gpu, size);
    cudaMalloc(&sad_poincare_output_gpu, size);

    cudaMemcpy(musing_beaver_input_gpu, musing_beaver_input, size, cudaMemcpyHostToDevice);

    kernel<<<block, grid>>>(musing_beaver_input_gpu, inspiring_shaw_output_gpu, sad_poincare_output_gpu, N);

    cudaMemcpy(inspiring_shaw_output, inspiring_shaw_output_gpu, size, cudaMemcpyDeviceToHost);
    cudaMemcpy(sad_poincare_output, sad_poincare_output_gpu, size, cudaMemcpyDeviceToHost);

    cudaFree(musing_beaver_input_gpu);
    cudaFree(inspiring_shaw_output_gpu);
    cudaFree(sad_poincare_output_gpu);
}
        ","
void func_cpu(float * musing_beaver_input, float * inspiring_shaw_output, float * sad_poincare_output, unsigned int N){

    for (int angry_ardinghelli = 0; angry_ardinghelli <= N; angry_ardinghelli++){

    }
        
}
        ",0.000000,0.160000,0,10000,100,1,1,100,1,1
7,"


__global__ void kernel(float * musing_beaver_input, float * inspiring_shaw_output, float * sad_poincare_output, unsigned int N){
    int bx = blockIdx.x, bdx = blockDim.x,  tx = threadIdx.x;

    int angry_ardinghelli = bx*bdx + tx;
    if (angry_ardinghelli < N){
        __syncthreads();
    }
    
        
}

void func_gpu(float * musing_beaver_input, float * inspiring_shaw_output, float * sad_poincare_output, unsigned int N, dim3 block, dim3 grid, size_t size){
    float * musing_beaver_input_gpu;
    float * inspiring_shaw_output_gpu;
    float * sad_poincare_output_gpu;

    cudaMalloc(&musing_beaver_input_gpu, size);
    cudaMalloc(&inspiring_shaw_output_gpu, size);
    cudaMalloc(&sad_poincare_output_gpu, size);

    cudaMemcpy(musing_beaver_input_gpu, musing_beaver_input, size, cudaMemcpyHostToDevice);

    kernel<<<block, grid>>>(musing_beaver_input_gpu, inspiring_shaw_output_gpu, sad_poincare_output_gpu, N);

    cudaMemcpy(inspiring_shaw_output, inspiring_shaw_output_gpu, size, cudaMemcpyDeviceToHost);
    cudaMemcpy(sad_poincare_output, sad_poincare_output_gpu, size, cudaMemcpyDeviceToHost);

    cudaFree(musing_beaver_input_gpu);
    cudaFree(inspiring_shaw_output_gpu);
    cudaFree(sad_poincare_output_gpu);
}
        ","
void func_cpu(float * musing_beaver_input, float * inspiring_shaw_output, float * sad_poincare_output, unsigned int N){

    for (int angry_ardinghelli = 0; angry_ardinghelli <= N; angry_ardinghelli++){

    }
        
}
        ",0.000000,0.170000,0,100000,10000,1,1,10,1,1
8,"


__global__ void kernel(float * musing_beaver_input, float * inspiring_shaw_output, float * sad_poincare_output, unsigned int N){
    int bx = blockIdx.x, bdx = blockDim.x,  tx = threadIdx.x;

    int angry_ardinghelli = bx*bdx + tx;
    if (angry_ardinghelli < N){
        __syncthreads();
    }
    
        
}

void func_gpu(float * musing_beaver_input, float * inspiring_shaw_output, float * sad_poincare_output, unsigned int N, dim3 block, dim3 grid, size_t size){
    float * musing_beaver_input_gpu;
    float * inspiring_shaw_output_gpu;
    float * sad_poincare_output_gpu;

    cudaMalloc(&musing_beaver_input_gpu, size);
    cudaMalloc(&inspiring_shaw_output_gpu, size);
    cudaMalloc(&sad_poincare_output_gpu, size);

    cudaMemcpy(musing_beaver_input_gpu, musing_beaver_input, size, cudaMemcpyHostToDevice);

    kernel<<<block, grid>>>(musing_beaver_input_gpu, inspiring_shaw_output_gpu, sad_poincare_output_gpu, N);

    cudaMemcpy(inspiring_shaw_output, inspiring_shaw_output_gpu, size, cudaMemcpyDeviceToHost);
    cudaMemcpy(sad_poincare_output, sad_poincare_output_gpu, size, cudaMemcpyDeviceToHost);

    cudaFree(musing_beaver_input_gpu);
    cudaFree(inspiring_shaw_output_gpu);
    cudaFree(sad_poincare_output_gpu);
}
        ","
void func_cpu(float * musing_beaver_input, float * inspiring_shaw_output, float * sad_poincare_output, unsigned int N){

    for (int angry_ardinghelli = 0; angry_ardinghelli <= N; angry_ardinghelli++){

    }
        
}
        ",0.000000,0.180000,0,100000,1000,1,1,100,1,1
9,"


__global__ void kernel(float * musing_beaver_input, float * inspiring_shaw_output, float * sad_poincare_output, unsigned int N){
    int bx = blockIdx.x, bdx = blockDim.x,  tx = threadIdx.x;

    int angry_ardinghelli = bx*bdx + tx;
    if (angry_ardinghelli < N){
        __syncthreads();
    }
    
        
}

void func_gpu(float * musing_beaver_input, float * inspiring_shaw_output, float * sad_poincare_output, unsigned int N, dim3 block, dim3 grid, size_t size){
    float * musing_beaver_input_gpu;
    float * inspiring_shaw_output_gpu;
    float * sad_poincare_output_gpu;

    cudaMalloc(&musing_beaver_input_gpu, size);
    cudaMalloc(&inspiring_shaw_output_gpu, size);
    cudaMalloc(&sad_poincare_output_gpu, size);

    cudaMemcpy(musing_beaver_input_gpu, musing_beaver_input, size, cudaMemcpyHostToDevice);

    kernel<<<block, grid>>>(musing_beaver_input_gpu, inspiring_shaw_output_gpu, sad_poincare_output_gpu, N);

    cudaMemcpy(inspiring_shaw_output, inspiring_shaw_output_gpu, size, cudaMemcpyDeviceToHost);
    cudaMemcpy(sad_poincare_output, sad_poincare_output_gpu, size, cudaMemcpyDeviceToHost);

    cudaFree(musing_beaver_input_gpu);
    cudaFree(inspiring_shaw_output_gpu);
    cudaFree(sad_poincare_output_gpu);
}
        ","
void func_cpu(float * musing_beaver_input, float * inspiring_shaw_output, float * sad_poincare_output, unsigned int N){

    for (int angry_ardinghelli = 0; angry_ardinghelli <= N; angry_ardinghelli++){

    }
        
}
        ",0.000000,0.160000,0,100000,100,1,1,1000,1,1
